Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
3/31/2024,AQS,60370016,1,0.045,ppm,42,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/1/2024,AQS,60370016,1,0.049,ppm,45,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/2/2024,AQS,60370016,1,0.053,ppm,49,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/3/2024,AQS,60370016,1,0.056,ppm,54,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/4/2024,AQS,60370016,1,0.042,ppm,39,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/5/2024,AQS,60370016,1,0.047,ppm,44,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/6/2024,AQS,60370016,1,0.051,ppm,47,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/7/2024,AQS,60370016,1,0.053,ppm,49,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/8/2024,AQS,60370016,1,0.05,ppm,46,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/9/2024,AQS,60370016,1,0.058,ppm,61,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/10/2024,AQS,60370016,1,0.063,ppm,77,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/11/2024,AQS,60370016,1,0.076,ppm,119,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/12/2024,AQS,60370016,1,0.052,ppm,48,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/13/2024,AQS,60370016,1,0.052,ppm,48,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/14/2024,AQS,60370016,1,0.046,ppm,43,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
